iter	Passed	Remaining
916	15426	1396
917	15440	1379
918	15458	1362
919	15475	1345
920	15490	1328
921	15508	1311
922	15524	1295
923	15543	1278
924	15562	1261
925	15578	1244
926	15595	1228
927	15614	1211
928	15631	1194
929	15650	1177
930	15669	1161
931	15688	1144
932	15708	1128
933	15724	1111
934	15742	1094
935	15762	1077
936	15779	1060
937	15796	1044
938	15812	1027
939	15830	1010
940	15865	994
941	15882	977
942	15898	961
943	15914	944
944	15927	927
945	15943	910
946	15961	893
947	15977	876
948	15992	859
949	16009	842
950	16031	826
951	16046	809
952	16063	792
953	16079	775
954	16093	758
955	16109	741
956	16125	724
957	16142	707
958	16157	690
959	16173	673
960	16188	656
961	16203	640
962	16219	623
963	16232	606
964	16250	589
965	16270	572
966	16288	555
967	16303	538
968	16317	522
969	16333	505
970	16350	488
971	16366	471
972	16383	454
973	16398	437
974	16414	420
975	16432	404
976	16448	387
977	16464	370
978	16480	353
979	16493	336
980	16509	319
981	16526	302
982	16542	286
983	16562	269
984	16578	252
985	16593	235
986	16610	218
987	16624	201
988	16638	185
989	16656	168
990	16674	151
991	16689	134
992	16705	117
993	16722	100
994	16738	84
995	16754	67
996	16770	50
997	16787	33
998	16802	16
999	16816	0
